Name,St. Length (mm),Body Depth,Body Width,N
Lepomis gibbosus,41.1,42.3,16.1,5
Lepomis gulosus,53.1,38,17.7,1
Lepomis macrochirus,88.5,46.4,16.8,5
Lepomis megalotis,66.4,51.5,19.4,5
Micropterus dolomieui,71.5,29,15.8,5
Micropterus salmoides,102.8,31.4,16.5,5
Pomoxis annularis,46.8,34.5,11.3,5
Pomoxis nigromaculatus,67.2,40.4,13.3,5
Ammocrypta pellucida,46.3,9.6,6.1,5
Etheostoma blennioides,59.5,14.7,9.8,5
Etheostoma caeruleum,40.3,13.8,11.4,5
Etheostoma camurum,40.4,12.8,12.1,5
Etheostoma exile,26.5,13,9.6,5
Etheostoma flabellare,47.2,13.2,12.5,5
Etheostoma fusiforme,30.7,18.8,11.7,5
Etheostoma maculatum,62,22,12.1,2
Etheostoma nigrum,40.7,18.1,14.3,4
Etheostoma olmstedi,43.9,19.2,16.9,5
Etheostoma variatum,69.3,21.3,15.2,4
Etheostoma zonale,37.3,22.7,16.5,5
Percina caprodes,61.9,17.6,12.3,5
Percina copelandi,36,15,12.8,1
Percina evides,44.2,17.8,14.1,5
Percina macrocephala,62.1,16.7,12.4,2
Percina maculata,47.3,17.3,13.1,3
Percina peltata,67.7,17.6,14.3,5
Perca flavescens,60,26.9,14.1,5
Stizostedion canadense,343.6,24.4,16.5,1
Stizostedion vitreum,103.2,20,15,2
Cottus bairdi,44.3,18.8,18.3,5
Cottus cognatus,64.9,20.1,17.8,5
Cottus ricei,43.6,15.8,16.5,5
Myoxocephalus thompsoni,96.8,19.1,21,10
