ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference
Salmo trutta,Brown Trout,Truite commune,Male,NA,141,FL,Norway,"Bj<f8>r<e5>a Stream (above Waterfalls), 1997-1999 (Sep. - Oct.)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,159,FL,Norway,"Bj<f8>r<e5>a Stream (Below Waterfalls), 1997-1999 (Sep. - Oct)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,148,FL,Norway,"Gjesa Stream (Below Waterfalls), 1997-1999 (Sep.- Oct.)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,162,FL,Norway,"Osa Stream (above Waterfalls), 1997-1999 (Sep.-Oct)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,187,FL,Norway,"Osa Stream (Below Waterfalls), 1997-1999 (Sep.-Oct)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,172,FL,Norway,"Ulv<e5>a Stream (above Waterfalls), 1997-1999 (Sep.-Oct.)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,161.8,FL,Spain,Cabrillas River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,141.3,FL,Spain,Cega River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,156,FL,Spain,Dulce River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,133,FL,Spain,Eresma River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,164.5,FL,Spain,Gallo River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,144.70000000000002,FL,Spain,Hoz Seca River/ 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Female,NA,167.3,FL,Spain,Jarama River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,134.3,FL,Spain,Cabrillas River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,123.2,FL,Spain,Cega River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,141.4,FL,Spain,Dulce River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,124.60000000000001,FL,Spain,Eresma River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,132,FL,Spain,Gallo River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,138.8,FL,Spain,Hoz Seca River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Male,NA,138.6,FL,Spain,Jaram River / 1996-1998,<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>
Salmo trutta,Brown Trout,Truite commune,Female,12.8,NA,SL,Greece,Aspropotamos Stream (March 1981- February 1982),<a href=http://fishbase.ca/references/FBRefSummary.php?id=27724 target='_blank' >Papageorgi... et al. 1983</a>
Salmo trutta,Brown Trout,Truite commune,Male,10.5,NA,SL,Greece,Aspropotamos Stream (March 1981- February 1982),<a href=http://fishbase.ca/references/FBRefSummary.php?id=27724 target='_blank' >Papageorgi... et al. 1983</a>
Salmo trutta,Brown Trout,Truite commune,Female,147,NA,NA,NA,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41168 target='_blank' >Gabrielyan 2001</a>
Salmo trutta,Brown Trout,Truite commune,Male,125,NA,NA,NA,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41168 target='_blank' >Gabrielyan 2001</a>
Salmo trutta,Brown Trout,Truite commune,Female,2570,NA,FL,Poland,"Department of Salmonid Research in Rutki of the Inland Fisheries Institute, Olsztyn, 1998-2002",<a href=http://fishbase.ca/references/FBRefSummary.php?id=91275 target='_blank' >D?bowski et al. 2005</a>
Oncorhynchus mykiss,Rainbow Trout,Truite arc-en-ciel,Unsexed,150,NA,NA,NA,Not Specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=27547 target='_blank' >Morrow 1980</a>
Oncorhynchus gorbuscha,Pink Salmon,Saumon rose,Unsexed,400,450,TL,NA,North America,<a href=http://fishbase.ca/references/FBRefSummary.php?id=27368 target='_blank' >Gerstmeier et al. 1998</a>
Oncorhynchus keta,Chum Salmon,Saumon keta,Female,NA,700,NA,Canada,Columbia River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Oncorhynchus keta,Chum Salmon,Saumon keta,Male,NA,810,NA,Canada,Columbia River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Oncorhynchus nerka,Sockeye Salmon,Saumon rouge,Unsexed,NA,600,NA,Canada,Cultus Lake,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Oncorhynchus tshawytscha,Chinook Salmon,Saumon chinook,Unsexed,NA,789,NA,Russian Federation,Eastern Kamchatka,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56350 target='_blank' >Vronsky 2003</a>
Oncorhynchus tshawytscha,Chinook Salmon,Saumon chinook,Unsexed,NA,854,NA,Russian Federation,Western Kamchatka,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56350 target='_blank' >Vronsky 2003</a>
Salvelinus alpinus,Arctic Char,Omble chevalier,Female,NA,600,NA,Canada,Baffin Island,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Salvelinus alpinus,Arctic Char,Omble chevalier,Unsexed,NA,350,FL,Canada,"Cumberland Sound, Baffin Island",<a href=http://fishbase.ca/references/FBRefSummary.php?id=28967 target='_blank' >Moore 1975</a>
Salvelinus alpinus,Arctic Char,Omble chevalier,Unsexed,NA,381,NA,Canada,"Frasier River, Northern Labrador",<a href=http://fishbase.ca/references/FBRefSummary.php?id=40568 target='_blank' >Dempson et al. 1985</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,184,NA,Canada,Great Slave Lake,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Salvelinus namaycush,Lake Trout,Touladi,Female,422,NA,FL,Alaska (USA),"Walker L., Gates of the Arctic Nat'l Park, 1987-88",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33305 target='_blank' >Adams 1997</a>
Salvelinus namaycush,Lake Trout,Touladi,Male,435,NA,FL,Alaska (USA),"Walker L., Gates of the Arctic Nat'l Park, 1987-88",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33305 target='_blank' >Adams 1997</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,340,NA,NA,Alaska (USA),Brooks Range,<a href=http://fishbase.ca/references/FBRefSummary.php?id=33306 target='_blank' >Craig et al. 1975</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,308,NA,NA,Alaska (USA),Subarctic Region,<a href=http://fishbase.ca/references/FBRefSummary.php?id=33307 target='_blank' >Burr 1989</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,370,FL,Alaska (USA),"Butte Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,410,FL,Alaska (USA),"Chandler  Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,481,FL,Alaska (USA),"Fielding Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,375,FL,Alaska (USA),"Glacier  Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,350,FL,Alaska (USA),"Landlocked Tangle  Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,426,FL,Alaska (USA),"Paxson Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,386,FL,Alaska (USA),"Sevenmile Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,452,FL,Alaska (USA),"Summit Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,343,FL,Alaska (USA),"Twobit  Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,400,FL,Alaska (USA),"Upper Tangle Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,476,FL,Alaska (USA),"Walker Lake, 1987-90",<a href=http://fishbase.ca/references/FBRefSummary.php?id=33309 target='_blank' >Burr 1993</a>
Osmerus mordax,Rainbow Smelt,Éperlan arc-en-ciel,Female,NA,197,TL,United States,Massachusetts River System,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52221 target='_blank' >Murawski et al. 1978</a>
Osmerus mordax,Rainbow Smelt,Éperlan arc-en-ciel,Female,NA,193,TL,United States,Western Lake Superior,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52222 target='_blank' >Bailey 1964</a>
Osmerus mordax,Rainbow Smelt,Éperlan arc-en-ciel,Male,NA,188,TL,United States,Massachusetts River System,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52221 target='_blank' >Murawski et al. 1978</a>
Osmerus mordax,Rainbow Smelt,Éperlan arc-en-ciel,Male,NA,150,TL,United States,Western Lake Superior,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52222 target='_blank' >Bailey 1964</a>
Osmerus mordax,Rainbow Smelt,Éperlan arc-en-ciel,Mixed,NA,220,TL,Canada,Beaufort Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52220 target='_blank' >Haldorson et al. 1984</a>
Hypomesus olidus,Pond Smelt,Éperlan à petite bouche,Unsexed,NA,100,NA,Japan,Lake Suwa,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Thaleichthys pacificus,Eulachon,Eulakane,Unsexed,150,NA,FL,United States,Bering Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56527 target='_blank' >Fadeev 2005</a>
Esox lucius,Northern Pike,Brochet,Female,280,420,FL,Scotland (UK),Loch Davan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>
