GroupName,FrenchGroupName,ScientificName,CommonName,FrenchName,MinSize,MaxSize
Salmon & Walleye,Saumons et dorés jaunes,Notropis oxyrhynchus,Sharpnose shiner,Méné à nez pointu,25,95
Salmon & Walleye,Saumons et dorés jaunes,Notropis sabinae,Sabine shiner,Méné Sabine,25,57
Salmon & Walleye,Saumons et dorés jaunes,Notropis shumardi,Silverband shiner,Méné miroir,25,100
Salmon & Walleye,Saumons et dorés jaunes,Notropis stramineus,Sand shiner,Méné paille,25,76
Salmon & Walleye,Saumons et dorés jaunes,Notropis texanus,Weed shiner,Méné d’herbe,25,56
Salmon & Walleye,Saumons et dorés jaunes,Notropis topeka,Topeka shiner,Méné Topeka,25,76
Salmon & Walleye,Saumons et dorés jaunes,Notropis volucellus,Mimic shiner,Méné pâle,25,76
Salmon & Walleye,Saumons et dorés jaunes,Oncorhynchus clarki,Cutthroat trout,Truite fardée,25,381
Salmon & Walleye,Saumons et dorés jaunes,Oncorhynchus gorbuscha,Pink salmon,Saumon rose,25,610
Salmon & Walleye,Saumons et dorés jaunes,Oncorhynchus keta,Chum salmon,Saumon kéta,25,635
Salmon & Walleye,Saumons et dorés jaunes,Oncorhynchus kisutch,Coho salmon,Saumon coho,25,656
Salmon & Walleye,Saumons et dorés jaunes,Oncorhynchus mykiss,Rainbow or Steelhead trout,Truite arc-en-ciel et saumon arc-en-ciel,25,762
Salmon & Walleye,Saumons et dorés jaunes,Oncorhynchus nerka,Sockeye salmon,Saumon rouge,25,610
Salmon & Walleye,Saumons et dorés jaunes,Oncorhynchus tshawytscha,Chinook salmon,Saumon quinnat,25,915
Salmon & Walleye,Saumons et dorés jaunes,Perca flavescens,Yellow perch,Perchaude,25,254
Salmon & Walleye,Saumons et dorés jaunes,Perca fluviatilis,European perch,Perche commune,25,600
Salmon & Walleye,Saumons et dorés jaunes,Pimephales promelas,Fathead minnow,Tête-de-boule,25,51
Salmon & Walleye,Saumons et dorés jaunes,Pimephales vigilax,Bullhead minnow,Pimephales vigilax,25,79
Salmon & Walleye,Saumons et dorés jaunes,Platygobio gracilus,Flathead chub,Méné à tête plate,25,178
Salmon & Walleye,Saumons et dorés jaunes,Pogonichthys macrolepidotus,Sacramento splittail,Sacramento splittail,25,440
Salmon & Walleye,Saumons et dorés jaunes,Prosopium williamsoni,Mountain whitefish,Ménomini des montagnes,25,305
Salmon & Walleye,Saumons et dorés jaunes,Ptychocheilus lucius,Colorado squawfish,Cyprinoïde du Colorado,25,1800
Salmon & Walleye,Saumons et dorés jaunes,Ptychocheilus oregonensis,Northern squawfish,Cyprinoïde nordique,25,305
Salmon & Walleye,Saumons et dorés jaunes,Rhinichthys atratulus,Blacknose dace,Naseux noir,25,64
Salmon & Walleye,Saumons et dorés jaunes,Rhinichthys cataractae,Longnose dace,Naseux des rapides,25,76
Salmon & Walleye,Saumons et dorés jaunes,Rhinichthys osculus,Speckled dace,Naseux moucheté,25,76
Salmon & Walleye,Saumons et dorés jaunes,Richardsonius balteatus,Redside shiner,Méné rose,25,127
Salmon & Walleye,Saumons et dorés jaunes,Rutilus rutilus,Roach,Chevaine,25,500
Salmon & Walleye,Saumons et dorés jaunes,Salmo salar,Atlantic salmon,Saumon de l’Atlantique,25,457
Salmon & Walleye,Saumons et dorés jaunes,Salmo trutta,Brown trout,Truite brune,25,406
Salmon & Walleye,Saumons et dorés jaunes,Salvelinus alpinus,Arctic char,Omble à tête plate,25,457
Salmon & Walleye,Saumons et dorés jaunes,Salvelinus confluentus,Bull trout,Mouchetée,25,1030
Salmon & Walleye,Saumons et dorés jaunes,Salvelinus fontinalis,Brook trout,Omble chevalier,25,305
Salmon & Walleye,Saumons et dorés jaunes,Salvelinus namaycush,Lake trout,Touladi,25,508
Salmon & Walleye,Saumons et dorés jaunes,Sander vitreus,Walleye,Doré jaune,25,508
Salmon & Walleye,Saumons et dorés jaunes,Semotilus atromaculatus,Creek chub,Mulet à cornes,25,102
Salmon & Walleye,Saumons et dorés jaunes,Stenodus leucichthys,Inconnu,Inconnu,25,762
Salmon & Walleye,Saumons et dorés jaunes,Thymallus arcticus,Arctic grayling,Ombre de l’Arctique,25,381
Salmon & Walleye,Saumons et dorés jaunes,Thymallus thymallus,European grayling,Ombre commun,25,600
Sturgeon,Esturgeons,Acipenser brevirostrum,Shortnose sturgeon,Esturgeon à museau court,25,912
Sturgeon,Esturgeons,Acipenser fulvescens,Lake sturgeon,Esturgeon jaune,25,1425
Sturgeon,Esturgeons,Acipenser transmontanus,White sturgeon,Esturgeon blanc,25,6100
Sturgeon,Esturgeons,Scaphirhynchus albus,Pallid sturgeon,Esturgeon pâle,25,2000
Sturgeon,Esturgeons,Scaphirhynchus platorynchus,Shovelnose sturgeon,Esturgeon à museau plat,25,1080
