"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"64","Pylodictis olivaris","Flathead catfish","Male",15,17,"TL","United States","Big Blue and Neosho Rivers, Kansas","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3987 target='_blank' >Reference</a>"
"66","Salmo trutta","Sea trout","Unsexed",NA,24,NA,"United Kingdom","Lake Windermere, England","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"70","Salmo trutta","Sea trout","Mixed",NA,36.9,"FL","France","River Calonne, Normandy, 1985","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40189 target='_blank' >Reference</a>"
"74","Salmo trutta","Sea trout","Male",12,NA,"FL","England and Wales (UK)","Afon Cwm River, Llanbrynmair, mid-Wales, 1984-1993","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=44580 target='_blank' >Reference</a>"
"77","Salmo trutta","Sea trout","Female",NA,14.7,"FL","Norway","Bellbekken stream (above waterfalls), 1997–1999 (Sep. - Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"78","Salmo trutta","Sea trout","Female",NA,16.9,"FL","Norway","Bjøråa stream (above waterfalls), 1997-1999 (Sep. - Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"79","Salmo trutta","Sea trout","Female",NA,16.8,"FL","Norway","Bjøråa stream (below waterfalls), 1997-1999 (Sep. - Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"80","Salmo trutta","Sea trout","Female",NA,17.4,"FL","Norway","Gjesa stream (below waterfalls), 1997-1999 (Sep.- Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"81","Salmo trutta","Sea trout","Female",NA,16.9,"FL","Norway","Lvåa stream (above waterfalls), 1997-1999 (Sep.-Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"82","Salmo trutta","Sea trout","Female",NA,16.4,"FL","Norway","Osa stream (above waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
