"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"216","Clupea harengus","Atlantic herring","Unsexed",NA,26.5,"TL","Canada","Georges Bank, 1987","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"217","Clupea harengus","Atlantic herring","Unsexed",NA,26.8,"TL","Canada","Georges Bank, 1988","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"218","Clupea harengus","Atlantic herring","Unsexed",NA,26.4,"TL","Canada","Georges Bank, 1989","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"219","Clupea harengus","Atlantic herring","Unsexed",NA,26,"TL","Canada","Georges Bank, 1990","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"220","Clupea harengus","Atlantic herring","Unsexed",NA,25.3,"TL","Canada","Georges Bank, 1991","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"221","Clupea harengus","Atlantic herring","Unsexed",NA,25.4,"TL","Canada","Georges Bank, 1992","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"222","Clupea harengus","Atlantic herring","Unsexed",NA,25,"TL","Canada","Georges Bank, 1994","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"223","Clupea harengus","Atlantic herring","Unsexed",NA,25.1,"TL","Canada","Georges Bank, 1995","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"224","Clupea harengus","Atlantic herring","Unsexed",NA,24.9,"TL","Canada","Gulf of Maine, 1993","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
"226","Clupea harengus","Atlantic herring","Female",NA,15,NA,"Finland","Åland, Baltic Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"227","Clupea harengus","Atlantic herring","Female",NA,15,NA,"Finland","Archipelago Sea, Kustavi","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"228","Clupea harengus","Atlantic herring","Female",NA,15,NA,"Finland","Gulf of Finland, Helsinki","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"229","Clupea harengus","Atlantic herring","Female",NA,12.5,NA,"Finland","Gulf of Finland, Loviisa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"230","Clupea harengus","Atlantic herring","Female",NA,14,NA,"Finland","Gulf of Finland, Tammisaari","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"231","Clupea harengus","Atlantic herring","Male",NA,15,NA,"Finland","Åland, Baltic Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"232","Clupea harengus","Atlantic herring","Male",NA,14.5,NA,"Finland","Archipelago Sea, Kustavi","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"233","Clupea harengus","Atlantic herring","Male",NA,13.5,NA,"Finland","Gulf of Finland, Helsinki","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"234","Clupea harengus","Atlantic herring","Male",NA,12.5,NA,"Finland","Gulf of Finland, Loviisa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"235","Clupea harengus","Atlantic herring","Male",NA,13,NA,"Finland","Gulf of Finland, Tammisaari","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"236","Clupea harengus","Atlantic herring","Unsexed",NA,16,NA,NA,"Baltic Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40549 target='_blank' >Reference</a>"
"237","Clupea harengus","Atlantic herring","Unsexed",NA,20,"SL","Germany (Federal Republic of)","Western Baltic","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=47114 target='_blank' >Reference</a>"
"238","Clupea harengus","Atlantic herring","Unsexed",NA,24,"TL","Germany (Federal Republic of)","Kieler Förde","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=47157 target='_blank' >Reference</a>"
"239","Clupea harengus","Atlantic herring","Unsexed",16,NA,"TL","Poland","Gulf of Gdansk (autumn herring)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74523 target='_blank' >Reference</a>"
"240","Clupea harengus","Atlantic herring","Unsexed",20,NA,"TL",NA,"Western Baltic (autumn herring)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74533 target='_blank' >Reference</a>"
"242","Clupea harengus","Atlantic herring","Female",NA,15,NA,"Finland","Bothnian Sea, Pori","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"243","Clupea harengus","Atlantic herring","Female",NA,14.5,NA,"Finland","Bothnian Sea, Vaasa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"244","Clupea harengus","Atlantic herring","Male",NA,14.5,NA,"Finland","Bothnian Sea, Pori","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"245","Clupea harengus","Atlantic herring","Male",NA,14.5,NA,"Finland","Bothnian Sea, Vaasa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"246","Clupea harengus","Atlantic herring","Female",NA,15,NA,"Finland","Bothnian Bay, Kalajoki","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"247","Clupea harengus","Atlantic herring","Male",NA,14,NA,"Finland","Bothnian Bay, Kalajoki","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818 target='_blank' >Reference</a>"
"249","Clupea harengus","Atlantic herring","Unsexed",13.2,NA,"TL","Poland","Gulf of Gdansk (spring herring)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74523 target='_blank' >Reference</a>"
"250","Clupea harengus","Atlantic herring","Unsexed",20,NA,"TL",NA,"Western Baltic (spring herring)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74533 target='_blank' >Reference</a>"
"252","Clupea harengus","Atlantic herring","Unsexed",22,NA,"TL","England and Wales (UK)","East Anglia (off Flamborough)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=791 target='_blank' >Reference</a>"
"253","Clupea harengus","Atlantic herring","Unsexed",NA,24,NA,NA,"North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"254","Clupea harengus","Atlantic herring","Unsexed",24,NA,NA,"United Kingdom","Buchan area, northern North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6245 target='_blank' >Reference</a>"
"255","Clupea harengus","Atlantic herring","Unsexed",23,NA,NA,"United Kingdom","Southern North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=791 target='_blank' >Reference</a>"
"256","Clupea harengus","Atlantic herring","Unsexed",NA,25.7,NA,"United Kingdom","Banks stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"257","Clupea harengus","Atlantic herring","Unsexed",NA,27.5,NA,"Scotland (UK)","Buchan stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"258","Clupea harengus","Atlantic herring","Unsexed",NA,24.5,NA,"England and Wales (UK)","Downs stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"259","Clupea harengus","Atlantic herring","Female",NA,26,"TL","France","East and West Channel","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6014 target='_blank' >Reference</a>"
"260","Clupea harengus","Atlantic herring","Male",NA,26,"TL","France","East and West Channel","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6014 target='_blank' >Reference</a>"
"261","Clupea harengus","Atlantic herring","Unsexed",NA,22,NA,NA,"North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=791 target='_blank' >Reference</a>"
"262","Clupea harengus","Atlantic herring","Unsexed",NA,24,NA,NA,"Southern North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40551 target='_blank' >Reference</a>"
"265","Clupea harengus","Atlantic herring","Unsexed",NA,24,NA,"United Kingdom","South Irish Sea (Dunmore stock)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6237 target='_blank' >Reference</a>"
"266","Clupea harengus","Atlantic herring","Unsexed",NA,23.8,NA,"United Kingdom","Dunmore stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"269","Clupea harengus","Atlantic herring","Unsexed",24,NA,NA,"United Kingdom","North Irish Sea (Manx stock)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6246 target='_blank' >Reference</a>"
"270","Clupea harengus","Atlantic herring","Unsexed",NA,27,NA,"England and Wales (UK)","Clyde stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"271","Clupea harengus","Atlantic herring","Unsexed",NA,23.7,NA,"United Kingdom","Manx stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"272","Clupea harengus","Atlantic herring","Unsexed",NA,28,NA,"Norway","Norwegian Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"273","Clupea harengus","Atlantic herring","Unsexed",28,NA,NA,"Norway","Atlanto-Scandian","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6222 target='_blank' >Reference</a>"
"274","Clupea harengus","Atlantic herring","Unsexed",NA,31.2,NA,"Norway","Norwegian stock (spring spawner)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"275","Clupea harengus","Atlantic herring","Unsexed",NA,28.9,NA,"Norway","Norwegian spring-spawning herring stock, 1930-1996 (before collapse)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89492 target='_blank' >Reference</a>"
"276","Clupea harengus","Atlantic herring","Unsexed",NA,30.1,NA,"Norway","Norwegian spring-spawning herring stock, 1967-1982 (during collapse)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89492 target='_blank' >Reference</a>"
"277","Clupea harengus","Atlantic herring","Unsexed",NA,29.3,NA,"Norway","Norwegian spring-spawning herring stock, 1983-1992 (after collapse)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89492 target='_blank' >Reference</a>"
"279","Clupea harengus","Atlantic herring","Unsexed",24,NA,"TL","Iceland","Not given","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=87980 target='_blank' >Reference</a>"
"280","Clupea harengus","Atlantic herring","Unsexed",NA,27.5,NA,"Iceland","Off Iceland, summer spawner","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93906 target='_blank' >Reference</a>"
"285","Clupea pallasii pallasii","Pacific herring","Unsexed",21,NA,NA,"Canada","British Columbia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4982 target='_blank' >Reference</a>"
"286","Clupea pallasii pallasii","Pacific herring","Unsexed",28,NA,NA,"Japan","Japan Sea (Hokkaido-Sakhalin)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=839 target='_blank' >Reference</a>"
"287","Clupea pallasii pallasii","Pacific herring","Unsexed",24,NA,NA,NA,"Okhotsk Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6236 target='_blank' >Reference</a>"
"288","Clupea pallasii pallasii","Pacific herring","Unsexed",12,NA,NA,NA,"White Sea (small Onega)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6248 target='_blank' >Reference</a>"
"289","Clupea pallasii pallasii","Pacific herring","Female",NA,20.9,NA,NA,"Northwest Pacific","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4466 target='_blank' >Reference</a>"
"290","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,20.9,"TL","United States","Washington","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4511 target='_blank' >Reference</a>"
"291","Clupea pallasii pallasii","Pacific herring","Female",NA,29,"FL","Russian Federation","North-East Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56336 target='_blank' >Reference</a>"
"292","Clupea pallasii pallasii","Pacific herring","Male",NA,28,"FL","Russian Federation","North-East Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56336 target='_blank' >Reference</a>"
"293","Clupea pallasii pallasii","Pacific herring","Female",NA,20,"FL","Russian Federation","Kalygir' (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337 target='_blank' >Reference</a>"
"294","Clupea pallasii pallasii","Pacific herring","Female",NA,22,"FL","Russian Federation","Lake Nerpichiye (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337 target='_blank' >Reference</a>"
"295","Clupea pallasii pallasii","Pacific herring","Female",NA,15,"FL","Russian Federation","Lake Vilyui (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337 target='_blank' >Reference</a>"
"296","Clupea pallasii pallasii","Pacific herring","Male",NA,19,"FL","Russian Federation","Lake Nerpichiye (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337 target='_blank' >Reference</a>"
"297","Clupea pallasii pallasii","Pacific herring","Male",NA,15,"FL","Russian Federation","Lake Vilyui (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337 target='_blank' >Reference</a>"
"298","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,20,"FL","Russian Federation","Kalygir' (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337 target='_blank' >Reference</a>"
"299","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,22,"TL",NA,"Central British Columbia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74453 target='_blank' >Reference</a>"
"300","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,17.9,"TL","Canada","S. Strait of Georgia ","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74437 target='_blank' >Reference</a>"
"301","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,25,"TL","Alaska (USA)","SE Alaska","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74453 target='_blank' >Reference</a>"
"302","Coregonus artedi","Cisco","Unsexed",NA,15,"SL","United States","Muskellunge Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"303","Coregonus artedi","Cisco","Unsexed",NA,14,"SL","United States","Silver Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"304","Coregonus artedi","Cisco","Unsexed",NA,12.5,"SL","United States","Trout Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"305","Coregonus artedi","Cisco","Mixed",NA,27,"TL","Canada","Eastern James-Hudson Bay","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52223 target='_blank' >Reference</a>"
"307","Coregonus autumnalis","Arctic cisco","Mixed",28,NA,"FL","Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502 target='_blank' >Reference</a>"
"308","Coregonus pollan",NA,"Unsexed",25,27,"TL","Ireland","Large lakes in Ireland.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6258 target='_blank' >Reference</a>"
"310","Coregonus clupeaformis","Lake whitefish","Unsexed",NA,27,NA,"Canada","Lake Nipigon","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"311","Coregonus clupeaformis","Lake whitefish","Unsexed",NA,27,NA,"Canada","Shakespeare Is. Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"312","Coregonus clupeaformis","Lake whitefish","Unsexed",NA,23,NA,"United States","Trout Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"313","Coregonus hoyi","Bloater","Mixed",NA,18.3,"TL","United States","Apostle Islands Region, Lake Superior","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52232 target='_blank' >Reference</a>"
"314","Coregonus kiyi","Kiyi","Unsexed",NA,18,NA,"United States","USA","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"316","Coregonus nasus","Broad whitefish","Mixed",42,NA,"FL","Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502 target='_blank' >Reference</a>"
"320","Coregonus pidschian","Humpback whitefish","Unsexed",32,NA,"SL","Russian Federation","Keret river, Kandalaksha Bay, White Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6505 target='_blank' >Reference</a>"
"325","Coregonus pidschian","Humpback whitefish","Female",17,NA,NA,"Mongolia","Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072 target='_blank' >Reference</a>"
"326","Coregonus pidschian","Humpback whitefish","Male",17,NA,NA,"Mongolia","Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072 target='_blank' >Reference</a>"
"327","Coregonus pidschian","Humpback whitefish","Unsexed",38,NA,NA,"Mongolia","Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072 target='_blank' >Reference</a>"
"328","Coregonus pidschian","Humpback whitefish","Mixed",30,NA,"TL","Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502 target='_blank' >Reference</a>"
"337","Cottus cognatus","Slimy sculpin","Unsexed",NA,7.4,"TL","Alaska (USA)","Chandalar River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=28921 target='_blank' >Reference</a>"
"340","Couesius plumbeus","Lake chub","Female",NA,8.6,"FL",NA,"Mile 66 Brook, Ten Mile Lake, Western Labrador, 1975","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=49192 target='_blank' >Reference</a>"
"341","Couesius plumbeus","Lake chub","Male",7.5,NA,"FL",NA,"Mile 66 Brook, Ten Mile Lake, Western Labrador, 1975","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=49192 target='_blank' >Reference</a>"
"346","Dorosoma cepedianum","American gizzard shad","Female",NA,36.1,"TL","United States","Lake Erie","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3672 target='_blank' >Reference</a>"
"347","Dorosoma cepedianum","American gizzard shad","Male",NA,26.5,"TL","United States","Lake Erie","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3672 target='_blank' >Reference</a>"
"348","Dorosoma cepedianum","American gizzard shad","Unsexed",17.8,NA,NA,"United States","Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=39046 target='_blank' >Reference</a>"
"357","Eleginus gracilis","Saffron cod","Female",NA,30,"TL","Russian Federation","Western Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56347 target='_blank' >Reference</a>"
"360","Eleginus gracilis","Saffron cod","Male",NA,30,NA,"Russian Federation","Western Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56347 target='_blank' >Reference</a>"
"363","Esox lucius","Northern pike","Female",28,42,"FL","Scotland (UK)","Loch Davan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4843 target='_blank' >Reference</a>"
"364","Esox lucius","Northern pike","Female",28,35,"FL","Scotland (UK)","Loch Kinord","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4843 target='_blank' >Reference</a>"
"365","Esox lucius","Northern pike","Male",27,38,"FL","Scotland (UK)","Loch Davan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4843 target='_blank' >Reference</a>"
"366","Esox lucius","Northern pike","Male",27,32,"FL","Scotland (UK)","Loch Kinord","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4843 target='_blank' >Reference</a>"
"368","Esox lucius","Northern pike","Female",NA,29.5,NA,"England and Wales (UK)","England","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26396 target='_blank' >Reference</a>"
"369","Esox lucius","Northern pike","Female",42,NA,NA,"United States","Missouri","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26394 target='_blank' >Reference</a>"
"370","Esox lucius","Northern pike","Female",39,NA,NA,"Canada","Northern Canada (4 lakes)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4946 target='_blank' >Reference</a>"
"371","Esox lucius","Northern pike","Female",40,NA,NA,"Spain","Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26392 target='_blank' >Reference</a>"
"372","Esox lucius","Northern pike","Female",NA,25.7,NA,"United Kingdom","Scotland","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3858 target='_blank' >Reference</a>"
"373","Esox lucius","Northern pike","Female",NA,38,NA,"Canada","Waskesiu lake, Saskatchewan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26395 target='_blank' >Reference</a>"
"374","Esox lucius","Northern pike","Female",NA,41.5,NA,"United Kingdom","Windermere","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4992 target='_blank' >Reference</a>"
"375","Esox lucius","Northern pike","Female",NA,50.8,NA,"United States","Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26396 target='_blank' >Reference</a>"
"377","Esox lucius","Northern pike","Male",31,NA,NA,"Canada","Lac Ste Anne","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26390 target='_blank' >Reference</a>"
"378","Esox lucius","Northern pike","Male",32,NA,NA,"United States","Missouri","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26394 target='_blank' >Reference</a>"
"379","Esox lucius","Northern pike","Male",39,NA,NA,"Canada","Northern Canada (4 lakes)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4946 target='_blank' >Reference</a>"
"380","Esox lucius","Northern pike","Male",40,NA,NA,"Spain","Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26392 target='_blank' >Reference</a>"
"381","Esox lucius","Northern pike","Male",NA,26.3,NA,"United Kingdom","Scotland","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3858 target='_blank' >Reference</a>"
"382","Esox lucius","Northern pike","Male",38,NA,NA,"United Kingdom","Windermere","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4992 target='_blank' >Reference</a>"
"383","Esox lucius","Northern pike","Male",38,NA,NA,"United States","Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26396 target='_blank' >Reference</a>"
"386","Esox lucius","Northern pike","Mixed",40,NA,"SL","Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502 target='_blank' >Reference</a>"
"387","Esox lucius","Northern pike","Female",25,NA,"SL",NA,"Europe","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
"388","Esox lucius","Northern pike","Male",17,NA,"SL",NA,"Europe","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
"390","Esox lucius","Northern pike","Female",NA,38,NA,"Ireland","Pollaphuca Reservoir, 1990 (April)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89783 target='_blank' >Reference</a>"
"391","Esox lucius","Northern pike","Male",NA,34,NA,"Ireland","Pollaphuca Reservoir, 1990 (April)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89783 target='_blank' >Reference</a>"
"393","Esox reichertii",NA,"Unsexed",NA,40,"TL","Russian Federation","Primorye","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56557 target='_blank' >Reference</a>"
