"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Country","Locality","Reference"
"74","Salmo trutta","Sea trout","Male",12,NA,"England and Wales (UK)","Afon Cwm River, Llanbrynmair, mid-Wales, 1984-1993","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=44580>Reference</a>"
"77","Salmo trutta","Sea trout","Female",NA,14.7,"Norway","Bellbekken stream (above waterfalls), 1997–1999 (Sep. - Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"78","Salmo trutta","Sea trout","Female",NA,16.9,"Norway","Bjøråa stream (above waterfalls), 1997-1999 (Sep. - Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"79","Salmo trutta","Sea trout","Female",NA,16.8,"Norway","Bjøråa stream (below waterfalls), 1997-1999 (Sep. - Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"80","Salmo trutta","Sea trout","Female",NA,17.4,"Norway","Gjesa stream (below waterfalls), 1997-1999 (Sep.- Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"81","Salmo trutta","Sea trout","Female",NA,16.9,"Norway","lvåa stream (above waterfalls), 1997-1999 (Sep.-Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"82","Salmo trutta","Sea trout","Female",NA,16.4,"Norway","Osa stream (above waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"83","Salmo trutta","Sea trout","Female",NA,18.8,"Norway","Osa stream (below waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"84","Salmo trutta","Sea trout","Male",NA,14.2,"Norway","Bellbekken stream (above  waterfalls), 1997–1999 (Sep. - Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"85","Salmo trutta","Sea trout","Male",NA,14.1,"Norway","Bjøråa stream (above waterfalls), 1997-1999 (Sep. - Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
