"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Country","Locality","Reference"
"229","Clupea harengus","Atlantic herring","Female",NA,12.5,"Finland","Gulf of Finland, Loviisa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"230","Clupea harengus","Atlantic herring","Female",NA,14,"Finland","Gulf of Finland, Tammisaari","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"231","Clupea harengus","Atlantic herring","Male",NA,15,"Finland","Åland, Baltic Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"232","Clupea harengus","Atlantic herring","Male",NA,14.5,"Finland","Archipelago Sea, Kustavi","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"233","Clupea harengus","Atlantic herring","Male",NA,13.5,"Finland","Gulf of Finland, Helsinki","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"234","Clupea harengus","Atlantic herring","Male",NA,12.5,"Finland","Gulf of Finland, Loviisa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"235","Clupea harengus","Atlantic herring","Male",NA,13,"Finland","Gulf of Finland, Tammisaari","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"236","Clupea harengus","Atlantic herring","Unsexed",NA,16,NA,"Baltic Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40549>Reference</a>"
"237","Clupea harengus","Atlantic herring","Unsexed",NA,20,"Germany (Federal Republic of)","Western Baltic","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=47114>Reference</a>"
"238","Clupea harengus","Atlantic herring","Unsexed",NA,24,"Germany (Federal Republic of)","Kieler Förde","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=47157>Reference</a>"
"239","Clupea harengus","Atlantic herring","Unsexed",16,NA,"Poland","Gulf of Gdansk (autumn herring)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74523>Reference</a>"
"240","Clupea harengus","Atlantic herring","Unsexed",20,NA,NA,"Western Baltic (autumn herring)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74533>Reference</a>"
"242","Clupea harengus","Atlantic herring","Female",NA,15,"Finland","Bothnian Sea, Pori","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"243","Clupea harengus","Atlantic herring","Female",NA,14.5,"Finland","Bothnian Sea, Vaasa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"244","Clupea harengus","Atlantic herring","Male",NA,14.5,"Finland","Bothnian Sea, Pori","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"245","Clupea harengus","Atlantic herring","Male",NA,14.5,"Finland","Bothnian Sea, Vaasa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"246","Clupea harengus","Atlantic herring","Female",NA,15,"Finland","Bothnian Bay, Kalajoki","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"247","Clupea harengus","Atlantic herring","Male",NA,14,"Finland","Bothnian Bay, Kalajoki","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6818>Reference</a>"
"249","Clupea harengus","Atlantic herring","Unsexed",13.2,NA,"Poland","Gulf of Gdansk (spring herring)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74523>Reference</a>"
"250","Clupea harengus","Atlantic herring","Unsexed",20,NA,NA,"Western Baltic (spring herring)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74533>Reference</a>"
"252","Clupea harengus","Atlantic herring","Unsexed",22,NA,"England and Wales (UK)","East Anglia (off Flamborough)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=791>Reference</a>"
"253","Clupea harengus","Atlantic herring","Unsexed",NA,24,NA,"North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"254","Clupea harengus","Atlantic herring","Unsexed",24,NA,"United Kingdom","Buchan area, northern North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6245>Reference</a>"
"255","Clupea harengus","Atlantic herring","Unsexed",23,NA,"United Kingdom","southern North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=791>Reference</a>"
"256","Clupea harengus","Atlantic herring","Unsexed",NA,25.7,"United Kingdom","Banks stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"257","Clupea harengus","Atlantic herring","Unsexed",NA,27.5,"Scotland (UK)","Buchan stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"258","Clupea harengus","Atlantic herring","Unsexed",NA,24.5,"England and Wales (UK)","Downs stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"259","Clupea harengus","Atlantic herring","Female",NA,26,"France","East and West Channel","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6014>Reference</a>"
"260","Clupea harengus","Atlantic herring","Male",NA,26,"France","East and West Channel","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6014>Reference</a>"
"261","Clupea harengus","Atlantic herring","Unsexed",NA,22,NA,"North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=791>Reference</a>"
"262","Clupea harengus","Atlantic herring","Unsexed",NA,24,NA,"southern North Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40551>Reference</a>"
"265","Clupea harengus","Atlantic herring","Unsexed",NA,24,"United Kingdom","South Irish Sea (Dunmore stock)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6237>Reference</a>"
"266","Clupea harengus","Atlantic herring","Unsexed",NA,23.8,"United Kingdom","Dunmore stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"269","Clupea harengus","Atlantic herring","Unsexed",24,NA,"United Kingdom","North Irish Sea (Manx stock)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6246>Reference</a>"
"270","Clupea harengus","Atlantic herring","Unsexed",NA,27,"England and Wales (UK)","Clyde stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"271","Clupea harengus","Atlantic herring","Unsexed",NA,23.7,"United Kingdom","Manx stock","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"272","Clupea harengus","Atlantic herring","Unsexed",NA,28,"Norway","Norwegian Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"273","Clupea harengus","Atlantic herring","Unsexed",28,NA,"Norway","Atlanto-Scandian","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6222>Reference</a>"
"274","Clupea harengus","Atlantic herring","Unsexed",NA,31.2,"Norway","Norwegian stock (spring spawner)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"275","Clupea harengus","Atlantic herring","Unsexed",NA,28.9,"Norway","Norwegian spring-spawning herring stock, 1930-1996 (before collapse)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89492>Reference</a>"
"276","Clupea harengus","Atlantic herring","Unsexed",NA,30.1,"Norway","Norwegian spring-spawning herring stock, 1967-1982 (during collapse)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89492>Reference</a>"
"277","Clupea harengus","Atlantic herring","Unsexed",NA,29.3,"Norway","Norwegian spring-spawning herring stock, 1983-1992 (after collapse)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89492>Reference</a>"
"279","Clupea harengus","Atlantic herring","Unsexed",24,NA,"Iceland","not given","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=87980>Reference</a>"
"280","Clupea harengus","Atlantic herring","Unsexed",NA,27.5,"Iceland","off Iceland, summer spawner","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93906>Reference</a>"
"285","Clupea pallasii pallasii","Pacific herring","Unsexed",21,NA,"Canada","British Columbia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4982>Reference</a>"
"286","Clupea pallasii pallasii","Pacific herring","Unsexed",28,NA,"Japan","Japan Sea (Hokkaido-Sakhalin)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=839>Reference</a>"
"287","Clupea pallasii pallasii","Pacific herring","Unsexed",24,NA,NA,"Okhotsk Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6236>Reference</a>"
"288","Clupea pallasii pallasii","Pacific herring","Unsexed",12,NA,NA,"White Sea (small Onega)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6248>Reference</a>"
"289","Clupea pallasii pallasii","Pacific herring","Female",NA,20.9,NA,"Northwest Pacific","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4466>Reference</a>"
"290","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,20.9,"United States","Washington","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4511>Reference</a>"
"291","Clupea pallasii pallasii","Pacific herring","Female",NA,29,"Russian Federation","North-East Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56336>Reference</a>"
"292","Clupea pallasii pallasii","Pacific herring","Male",NA,28,"Russian Federation","North-East Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56336>Reference</a>"
"293","Clupea pallasii pallasii","Pacific herring","Female",NA,20,"Russian Federation","Kalygir' (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337>Reference</a>"
"294","Clupea pallasii pallasii","Pacific herring","Female",NA,22,"Russian Federation","Lake Nerpichiye (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337>Reference</a>"
"295","Clupea pallasii pallasii","Pacific herring","Female",NA,15,"Russian Federation","Lake Vilyui (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337>Reference</a>"
"296","Clupea pallasii pallasii","Pacific herring","Male",NA,19,"Russian Federation","Lake Nerpichiye (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337>Reference</a>"
"297","Clupea pallasii pallasii","Pacific herring","Male",NA,15,"Russian Federation","Lake Vilyui (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337>Reference</a>"
"298","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,20,"Russian Federation","Kalygir' (Kamchatka)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56337>Reference</a>"
"299","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,22,NA,"Central British Columbia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74453>Reference</a>"
"300","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,17.9,"Canada","S. Strait of Georgia ","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74437>Reference</a>"
"301","Clupea pallasii pallasii","Pacific herring","Unsexed",NA,25,"Alaska (USA)","SE Alaska","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74453>Reference</a>"
"302","Coregonus artedi","Cisco","Unsexed",NA,15,"United States","Muskellunge Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"303","Coregonus artedi","Cisco","Unsexed",NA,14,"United States","Silver Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"304","Coregonus artedi","Cisco","Unsexed",NA,12.5,"United States","Trout Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"305","Coregonus artedi","Cisco","Mixed",NA,27,"Canada","eastern James-Hudson Bay","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52223>Reference</a>"
"307","Coregonus autumnalis","Arctic cisco","Mixed",28,NA,"Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502>Reference</a>"
"308","Coregonus pollan",NA,"Unsexed",25,27,"Ireland","Large lakes in Ireland.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6258>Reference</a>"
"310","Coregonus clupeaformis","Lake whitefish","Unsexed",NA,27,"Canada","Lake Nipigon","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"311","Coregonus clupeaformis","Lake whitefish","Unsexed",NA,27,"Canada","Shakespeare Is. Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"312","Coregonus clupeaformis","Lake whitefish","Unsexed",NA,23,"United States","Trout Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"313","Coregonus hoyi","Bloater","Mixed",NA,18.3,"United States","Apostle Islands Region, Lake Superior","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52232>Reference</a>"
"314","Coregonus kiyi","Kiyi","Unsexed",NA,18,"United States","USA","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"316","Coregonus nasus","Broad whitefish","Mixed",42,NA,"Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502>Reference</a>"
"320","Coregonus pidschian","Humpback whitefish","Unsexed",32,NA,"Russian Federation","Keret river, Kandalaksha Bay, White Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=6505>Reference</a>"
"325","Coregonus pidschian","Humpback whitefish","Female",17,NA,"Mongolia","not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072>Reference</a>"
"326","Coregonus pidschian","Humpback whitefish","Male",17,NA,"Mongolia","not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072>Reference</a>"
"327","Coregonus pidschian","Humpback whitefish","Unsexed",38,NA,"Mongolia","not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072>Reference</a>"
"328","Coregonus pidschian","Humpback whitefish","Mixed",30,NA,"Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502>Reference</a>"
"337","Cottus cognatus","Slimy sculpin","Unsexed",NA,7.4,"Alaska (USA)","Chandalar River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=28921>Reference</a>"
"340","Couesius plumbeus","Lake chub","Female",NA,8.6,NA,"Mile 66 Brook, Ten Mile Lake, Western Labrador, 1975","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=49192>Reference</a>"
"341","Couesius plumbeus","Lake chub","Male",7.5,NA,NA,"Mile 66 Brook, Ten Mile Lake, Western Labrador, 1975","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=49192>Reference</a>"
"346","Dorosoma cepedianum","American gizzard shad","Female",NA,36.1,"United States","Lake Erie","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3672>Reference</a>"
"347","Dorosoma cepedianum","American gizzard shad","Male",NA,26.5,"United States","Lake Erie","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3672>Reference</a>"
"348","Dorosoma cepedianum","American gizzard shad","Unsexed",17.8,NA,"United States","not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=39046>Reference</a>"
"357","Eleginus gracilis","Saffron cod","Female",NA,30,"Russian Federation","Western Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56347>Reference</a>"
"360","Eleginus gracilis","Saffron cod","Male",NA,30,"Russian Federation","Western Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56347>Reference</a>"
"363","Esox lucius","Northern pike","Female",28,42,"Scotland (UK)","Loch Davan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4843>Reference</a>"
"364","Esox lucius","Northern pike","Female",28,35,"Scotland (UK)","Loch Kinord","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4843>Reference</a>"
"365","Esox lucius","Northern pike","Male",27,38,"Scotland (UK)","Loch Davan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4843>Reference</a>"
"366","Esox lucius","Northern pike","Male",27,32,"Scotland (UK)","Loch Kinord","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4843>Reference</a>"
"368","Esox lucius","Northern pike","Female",NA,29.5,"England and Wales (UK)","England","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26396>Reference</a>"
"369","Esox lucius","Northern pike","Female",42,NA,"United States","Missouri","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26394>Reference</a>"
"370","Esox lucius","Northern pike","Female",39,NA,"Canada","Northern Canada (4 lakes)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4946>Reference</a>"
"371","Esox lucius","Northern pike","Female",40,NA,"Spain","Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26392>Reference</a>"
"372","Esox lucius","Northern pike","Female",NA,25.7,"United Kingdom","Scotland","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3858>Reference</a>"
"373","Esox lucius","Northern pike","Female",NA,38,"Canada","Waskesiu lake, Saskatchewan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26395>Reference</a>"
"374","Esox lucius","Northern pike","Female",NA,41.5,"United Kingdom","Windermere","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4992>Reference</a>"
"375","Esox lucius","Northern pike","Female",NA,50.8,"United States","Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26396>Reference</a>"
"377","Esox lucius","Northern pike","Male",31,NA,"Canada","Lac Ste Anne","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26390>Reference</a>"
"378","Esox lucius","Northern pike","Male",32,NA,"United States","Missouri","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26394>Reference</a>"
"379","Esox lucius","Northern pike","Male",39,NA,"Canada","Northern Canada (4 lakes)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4946>Reference</a>"
"380","Esox lucius","Northern pike","Male",40,NA,"Spain","Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26392>Reference</a>"
"381","Esox lucius","Northern pike","Male",NA,26.3,"United Kingdom","Scotland","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3858>Reference</a>"
"382","Esox lucius","Northern pike","Male",38,NA,"United Kingdom","Windermere","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4992>Reference</a>"
"383","Esox lucius","Northern pike","Male",38,NA,"United States","Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=26396>Reference</a>"
"386","Esox lucius","Northern pike","Mixed",40,NA,"Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502>Reference</a>"
"387","Esox lucius","Northern pike","Female",25,NA,NA,"Europe","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
"388","Esox lucius","Northern pike","Male",17,NA,NA,"Europe","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
"390","Esox lucius","Northern pike","Female",NA,38,"Ireland","Pollaphuca Reservoir, 1990 (April)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89783>Reference</a>"
"391","Esox lucius","Northern pike","Male",NA,34,"Ireland","Pollaphuca Reservoir, 1990 (April)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89783>Reference</a>"
"393","Esox reichertii",NA,"Unsexed",NA,40,"Russian Federation","Primorye","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56557>Reference</a>"
"394","Esox masquinongy","Muskellunge","Female",NA,77,"United States","Chautauqua Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=45885>Reference</a>"
"395","Esox masquinongy","Muskellunge","Male",NA,67,"United States","Chautauqua Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=45885>Reference</a>"
"396","Esox niger","Chain pickerel","Unsexed",15.6,NA,"United States","not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=39116>Reference</a>"
"399","Fundulus heteroclitus","Mummichog","Unsexed",3.5,NA,NA,"not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
"400","Gasterosteus aculeatus","Three-spined stickleback","Unsexed",NA,3.6,"England and Wales (UK)","Cheshire, England","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"401","Gasterosteus aculeatus","Three-spined stickleback","Female",NA,5.5,"France","Roscoff (brackish waters)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=981>Reference</a>"
"402","Gasterosteus aculeatus","Three-spined stickleback","Male",NA,4.5,"France","Roscoff (brackish waters)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=981>Reference</a>"
"413","Hybognathus hankinsoni","Brassy minnow","Unsexed",NA,5.7,"Canada","Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612>Reference</a>"
"415","Hybognathus regius","Eastern silvery minnow","Unsexed",NA,8.7,"United States","Virginia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=54724>Reference</a>"
"417","Hypomesus olidus","Pond smelt","Unsexed",NA,10,"Japan","Lake Suwa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"422","Hypomesus nipponensis",NA,"Unsexed",6,NA,"Japan","Lake Abashiri, 1996","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93858>Reference</a>"
"423","Hypomesus transpacificus",NA,"Unsexed",5.5,6,"United States","California","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33312>Reference</a>"
"424","Ichthyomyzon castaneus","Chestnut lamprey","Unsexed",NA,10.1,"Canada","Manitoba","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998>Reference</a>"
"425","Ichthyomyzon fossor","Northern brook lamprey","Unsexed",NA,13.5,"Canada","to be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52559>Reference</a>"
"426","Ichthyomyzon unicuspis","Silver lamprey","Unsexed",NA,10,"Canada","to be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52559>Reference</a>"
"427","Ictalurus punctatus","Channel catfish","Unsexed",NA,36,"United States","Mississippi River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"430","Labidesthes sicculus","Brook silverside","Unsexed",NA,7,NA,"USA","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"431","Lampetra ayresii","Western river lamprey","Unsexed",NA,16.2,"Canada","to be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998>Reference</a>"
"433","Lepisosteus oculatus","Spotted gar","Unsexed",NA,54.9,"Canada","Great Lakes","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58585>Reference</a>"
"434","Lepisosteus oculatus","Spotted gar","Female",39.5,NA,"United States","Lake Pontchartrain Estuary, Louisiana (Nov 1998-Oct 1999)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58775>Reference</a>"
"435","Lepisosteus oculatus","Spotted gar","Male",28.5,NA,"United States","Lake Pontchartrain Estuary, Louisiana (Nov 1998-Oct 1999)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58775>Reference</a>"
"436","Lepisosteus osseus","Longnose gar","Female",NA,83.8,"United States","Missouri","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38418>Reference</a>"
"437","Lepisosteus osseus","Longnose gar","Male",66,NA,"United States","Missouri","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38418>Reference</a>"
"438","Lepisosteus osseus","Longnose gar","Female",NA,50,"Canada","Great Lakes","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58584>Reference</a>"
