"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"74","Salmo trutta","Sea trout","Male",120,NA,"FL","England and Wales (UK)","Afon Cwm River, Llanbrynmair, mid-Wales, 1984-1993","<a href=http://fishbase.ca/references/FBRefSummary.php?id=44580 target='_blank' >Crisp et al. 1995</a>"
"77","Salmo trutta","Sea trout","Female",NA,147,"FL","Norway","Bellbekken stream (above waterfalls), 1997–1999 (Sep. - Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"78","Salmo trutta","Sea trout","Female",NA,169,"FL","Norway","Bjøråa stream (above waterfalls), 1997-1999 (Sep. - Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"79","Salmo trutta","Sea trout","Female",NA,168,"FL","Norway","Bjøråa stream (below waterfalls), 1997-1999 (Sep. - Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"80","Salmo trutta","Sea trout","Female",NA,174,"FL","Norway","Gjesa stream (below waterfalls), 1997-1999 (Sep.- Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"81","Salmo trutta","Sea trout","Female",NA,169,"FL","Norway","Lvåa stream (above waterfalls), 1997-1999 (Sep.-Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"82","Salmo trutta","Sea trout","Female",NA,164,"FL","Norway","Osa stream (above waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"83","Salmo trutta","Sea trout","Female",NA,188,"FL","Norway","Osa stream (below waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"84","Salmo trutta","Sea trout","Male",NA,142,"FL","Norway","Bellbekken stream (above  waterfalls), 1997–1999 (Sep. - Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"85","Salmo trutta","Sea trout","Male",NA,141,"FL","Norway","Bjøråa stream (above waterfalls), 1997-1999 (Sep. - Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"86","Salmo trutta","Sea trout","Male",NA,159,"FL","Norway","Bjøråa stream (below waterfalls), 1997-1999 (Sep. - Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"87","Salmo trutta","Sea trout","Male",NA,148,"FL","Norway","Gjesa stream (below waterfalls), 1997-1999 (Sep.- Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
