ScientificName,CommonName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Rhinichthys osculus,speckled dace,,,45,,Canada,British Columbia,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Richardsonius balteatus,redside shiner,,,69,,United States,Montana,"Wydoski and Whitney, 1979.",http://fishbase.us/references/FBRefSummary.php?id=58470
Semotilus atromaculatus,creek chub,,,87,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Tinca tinca,tench,Male,,95,,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Tinca tinca,tench,Female,,120,,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Carpiodes cyprinus,quillback,,,472,SL,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Catostomus catostomus,longnose sucker,,,240,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Catostomus columbianus,bridgelip sucker,,,378,FL,Canada,British Columbia,"Dauble, 1980",http://dx.doi.org/10.1577/1548-8659(1980)109%3C92:LHOTBS%3E2.0.CO;2
Catostomus commersonii,white sucker,,,253,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Catostomus macrocheilus,largescale sucker,,,190,FL,Canada,British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Erimyzon sucetta,lake chubsucker,,,208,,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Hypentelium nigricans,northern hog sucker,,,133,TL,United States,New York,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Ictiobus cyprinellus,bigmouth buffalo,,,400,,Canada,Ontario,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Ictiobus niger,black buffalo,,225,308,,United States,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Minytrema melanops,spotted sucker,,,270,TL,United States,Oklahoma,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Moxostoma anisurum,silver redhorse,,,391,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
