	English.Common.Name	French.Common.Name	Scientific.Name	Group.s.	Screen.Area.Coefficient	Approach.Velocity
60	Rainbow Darter	Dard arc-en-ciel	Etheostoma caeruleum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
61	Fantail Darter	Dard barré	Etheostoma flabellare	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
62	Eastern Sand Darter	Dard de sable	Ammocrypta pellucida	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
63	Rio Grande Darter	Dard Rio Grande	Etheostoma grahami	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
64	Logperch	Dard-perche	Percina caprodes	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
65	Dolly Varden	Dolly varden	Salvelinus malma	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
66	Walleye	Doré jaune	Sander vitreus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
67	Sauger	Doré noir	Sander canadensis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
68	Pond Smelt	Éperlan à petite bouche	Hypomesus olidus	Herring; Sturgeon	0.01217	0.082
69	Rainbow Smelt	Éperlan arc-en-ciel	Osmerus mordax	Herring; Sturgeon	0.01217	0.082
70	Longfin Smelt	Éperlan d'hiver	Spirinchus thaleichthys	Herring; Sturgeon	0.01217	0.082
71	Brook Stickleback	Épinoche à cinq épines	Culaea inconstans	Eel	0.02871	0.035
72	Ninespine Stickleback	Épinoche à neuf épines	Pungitius pungitius	Eel	0.02871	0.035
73	Fourspine Stickleback	Épinoche à quatre épines	Apeltes quadracus	Eel	0.02871	0.035
74	Threespine Stickleback	Épinoche à trois épines	Gasterosteus aculeatus	Eel	0.02871	0.035
75	Blackspotted Stickleback	Épinoche tachetée	Gasterosteus wheatlandi	Eel	0.02871	0.035
76	Shortnose Sturgeon	Esturgeon à museau court	Acipenser brevirostrum	Herring; Sturgeon	0.01217	0.082
77	Shovelnose Sturgeon	Esturgeon à museau plat	Scaphirhynchus platorynchus	Herring; Sturgeon	0.01217	0.082
78	White Sturgeon	Esturgeon blanc	Acipenser transmontanus	Herring; Sturgeon	0.01217	0.082
79	Lake Sturgeon	Esturgeon jaune	Acipenser fulvescens	Herring; Sturgeon	0.01217	0.082
80	Atlantic Sturgeon	Esturgeon noir	Acipenser oxyrinchus	Herring; Sturgeon	0.01217	0.082
81	Pallid Sturgeon	Esturgeon pâle	Scaphirhynchus albus	Herring; Sturgeon	0.01217	0.082
82	Green Sturgeon	Esturgeon vert	Acipenser medirostris	Herring; Sturgeon	0.01217	0.082
83	Eulachon	Eulakane	Thaleichthys pacificus	Herring; Sturgeon	0.01217	0.082
84	Banded Killifish	Fondule barré	Fundulus diaphanus	Eel	0.02871	0.035
85	Channel Darter	Fouille-roche gris	Percina copelandi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
86	Roach	Gardon	Rutilus rutilus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
87	Alewife/Gaspereau	Gaspareau	Alosa pseudoharengus	Herring; Sturgeon	0.01217	0.082
88	Gudgeon	Gofi	Gobio gobio	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
89	Lake Whitefish	Grand corégone	Coregonus clupeaformis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
90	Gravel Chub	Gravelier	Erimystax?x-punctatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
91	Inconnu	Inconnu	Stenodus leucichthys	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
92	Arctic Lamprey	Lamproie arctique	Lethenteron camtschaticum	Eel	0.02871	0.035
93	Silver Lamprey	Lamproie argentée	Ichthyomyzon unicuspis	Eel	0.02871	0.035
94	Chestnut Lamprey	Lamproie brune	Ichthyomyzon castaneus	Eel	0.02871	0.035
95	Western Brook Lamprey	Lamproie de l' ouest	Lampetra richardsoni	Eel	0.02871	0.035
96	American Brook Lamprey	Lamproie de l'est	Lethenteron appendix	Eel	0.02871	0.035
97	River Lamprey	Lamproie de rivière	Lampetra ayresii	Eel	0.02871	0.035
98	Northern Brook Lamprey	Lamproie du nord	Ichthyomyzon fossor	Eel	0.02871	0.035
99	Pacific Lamprey	Lamproie du Pacifique	Entosphenus tridentatus	Eel	0.02871	0.035
100	Sea Lamprey	Lamproie marine	Petromyzon marinus	Eel	0.02871	0.035
101	Mooneye	Laquaiche argentée	Hiodon tergisus	Herring; Sturgeon	0.01217	0.082
102	Goldeye	Laquaiche aux yeux d'or	Hiodon alosoides	Herring; Sturgeon	0.01217	0.082
