"","ScientificName","CommonName","FrenchName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"12","Acipenser medirostris","Green Sturgeon","Esturgeon vert","Mixed",1000,NA,"TL",NA,"Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>"
"13","Acipenser medirostris","Green Sturgeon","Esturgeon vert","Unsexed",NA,1000,"TL","Russian Federation","Sea of Japan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56557 target='_blank' >Novikov et al. 2002</a>"
"14","Acipenser medirostris","Green Sturgeon","Esturgeon vert","Female",1660,NA,"TL","United States","Rogue River, Oregon (2000-2004)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120652 target='_blank' >Erickson et al. 2007</a>"
"15","Acipenser medirostris","Green Sturgeon","Esturgeon vert","Male",1450,1555,"TL","United States","Rogue River, Oregon (2000-2004)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120652 target='_blank' >Erickson et al. 2007</a>"
"16","Acipenser oxyrinchus","Atlantic Sturgeon","Esturgeon noir","Female",1829,2134,NA,"United States","Hudson River, New York","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>"
"17","Acipenser oxyrinchus","Atlantic Sturgeon","Esturgeon noir","Female",NA,1900,"TL","United States","St. Lawrence River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>"
"18","Acipenser oxyrinchus","Atlantic Sturgeon","Esturgeon noir","Male",1219,1524,NA,"United States","Hudson River, New York","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>"
"19","Acipenser oxyrinchus","Atlantic Sturgeon","Esturgeon noir","Male",NA,1650,"TL","United States","St. Lawrence River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>"
"20","Acipenser transmontanus","White Sturgeon","Esturgeon blanc","Unsexed",NA,1120,NA,"United States","California","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"21","Acipenser transmontanus","White Sturgeon","Esturgeon blanc","Female",NA,1600,"FL",NA,"Lower Columbia River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=34045 target='_blank' >DeVore et al. 1995</a>"
"22","Alosa fallax","Twaite Shad","Alose feinte","Female",NA,285,"TL","Tunisia","Tunisia Lagoon;","<a href=http://fishbase.ca/references/FBRefSummary.php?id=2285 target='_blank' >Conseil Gé... 1982</a>"
"23","Alosa fallax","Twaite Shad","Alose feinte","Male",NA,165,"TL","Tunisia","Tunisia Lagoon","<a href=http://fishbase.ca/references/FBRefSummary.php?id=2285 target='_blank' >Conseil Gé... 1982</a>"
"24","Alosa fallax","Twaite Shad","Alose feinte","Female",NA,364,"FL","Scotland (UK)","Solway Firth, 1989-94","<a href=http://fishbase.ca/references/FBRefSummary.php?id=83392 target='_blank' >Maitland et al. 2005</a>"
"25","Alosa fallax","Twaite Shad","Alose feinte","Male",NA,341,"FL","Scotland (UK)","Solway Firth, 1989-94","<a href=http://fishbase.ca/references/FBRefSummary.php?id=83392 target='_blank' >Maitland et al. 2005</a>"
"26","Alosa pseudoharengus","Alewife/Gaspereau","Gaspareau","Female",110,NA,"SL","Canada","Lake Ontario","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38946 target='_blank' >Graham 1956</a>"
"27","Alosa pseudoharengus","Alewife/Gaspereau","Gaspareau","Male",96,NA,"SL","Canada","Lake Ontario","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38946 target='_blank' >Graham 1956</a>"
"28","Alosa pseudoharengus","Alewife/Gaspereau","Gaspareau","Mixed",NA,158,"TL","United States","Lake Michigan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38634 target='_blank' >Norden 1967</a>"
"29","Alosa pseudoharengus","Alewife/Gaspereau","Gaspareau","Mixed",NA,131,"TL","United States","Lake Ontario, 1978-92","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52208 target='_blank' >Hanel 1992</a>"
"30","Alosa sapidissima","American Shad","Alose savoureuse","Female",383,434,"FL","United States","St John's River, Florida","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38973 target='_blank' >Walburg 1960</a>"
"31","Alosa sapidissima","American Shad","Alose savoureuse","Male",305,376,"FL","United States","St. John's River, Florida","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38973 target='_blank' >Walburg 1960</a>"
"32","Ameiurus nebulosus","Brown Bullhead","Barbotte brune","Female",203,266,"TL","Canada","Unspecified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>"
"33","Amia calva","Bowfin","Poisson-castor","Female",610,NA,NA,NA,"North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>"
"34","Amia calva","Bowfin","Poisson-castor","Male",457,NA,NA,NA,"North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>"
"35","Amia calva","Bowfin","Poisson-castor","Female",380,530,"TL","United States","Chesapeake Bay","<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>"
"36","Anguilla anguilla","European Eel","Anguille","Unsexed",NA,600,NA,"United Kingdom","Windermere","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"37","Anguilla anguilla","European Eel","Anguille","Female",450,550,NA,"Netherlands","Western Scheldt","<a href=http://fishbase.ca/references/FBRefSummary.php?id=108918 target='_blank' >Cattrijsse et al. 2000</a>"
"38","Anguilla anguilla","European Eel","Anguille","Male",300,375,"TL","Netherlands","Western Scheldt","<a href=http://fishbase.ca/references/FBRefSummary.php?id=108918 target='_blank' >Cattrijsse et al. 2000</a>"
"39","Anguilla rostrata","American Eel","Anguille d'Amérique","Unsexed",353,470,"TL","United States","Altamaha River, Georgia, 1980-81","<a href=http://fishbase.ca/references/FBRefSummary.php?id=7130 target='_blank' >Helfman et al. 1984</a>"
"40","Anguilla rostrata","American Eel","Anguille d'Amérique","Female",370,685,"TL","United States","Chesapeake Bay.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>"
"41","Anguilla rostrata","American Eel","Anguille d'Amérique","Male",220,330,"TL","United States","Chesapeake Bay.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>"
"42","Anguilla rostrata","American Eel","Anguille d'Amérique","Female",460,NA,"TL",NA,"North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120732 target='_blank' >Fahay 1978</a>"
"43","Anguilla rostrata","American Eel","Anguille d'Amérique","Male",280,290,"TL",NA,"North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120732 target='_blank' >Fahay 1978</a>"
"44","Catostomus catostomus","Longnose Sucker","Meunier rouge","Unsexed",130,NA,"FL",NA,"Frye Creek, Sixteen Mile Lake","<a href=http://fishbase.ca/references/FBRefSummary.php?id=10928 target='_blank' >Geen et al. 1966</a>"
"45","Catostomus commersonii","White Sucker","Meunier noir","Unsexed",230,NA,"FL",NA,"Frye Creek, Sixteenmile Lake","<a href=http://fishbase.ca/references/FBRefSummary.php?id=10928 target='_blank' >Geen et al. 1966</a>"
"46","Catostomus platyrhynchus","Mountain Sucker","Meunier des montagnes","Female",143,NA,"TL","United States","Lost Creek Reservoir, Utah, 1977","<a href=http://fishbase.ca/references/FBRefSummary.php?id=48536 target='_blank' >Wydoski et al. 2002</a>"
"47","Catostomus platyrhynchus","Mountain Sucker","Meunier des montagnes","Female",127,NA,"TL","United States","Montana Streams","<a href=http://fishbase.ca/references/FBRefSummary.php?id=48879 target='_blank' >Hauser 1969</a>"
"48","Catostomus platyrhynchus","Mountain Sucker","Meunier des montagnes","Female",106,NA,"TL","United States","Shoal Creek, Utah and Bitter Creek, Wyoming","<a href=http://fishbase.ca/references/FBRefSummary.php?id=10452 target='_blank' >Smith 1966</a>"
"49","Catostomus platyrhynchus","Mountain Sucker","Meunier des montagnes","Male",115,NA,"TL","United States","Lost Creek Reservoir, Utah, 1977","<a href=http://fishbase.ca/references/FBRefSummary.php?id=48536 target='_blank' >Wydoski et al. 2002</a>"
"50","Catostomus platyrhynchus","Mountain Sucker","Meunier des montagnes","Male",107,NA,"TL","United States","Montana Streams","<a href=http://fishbase.ca/references/FBRefSummary.php?id=48879 target='_blank' >Hauser 1969</a>"
"51","Catostomus platyrhynchus","Mountain Sucker","Meunier des montagnes","Male",76,NA,"TL","United States","Shoal Creek, Utah and Bitter Creek, Wyoming","<a href=http://fishbase.ca/references/FBRefSummary.php?id=10452 target='_blank' >Smith 1966</a>"
"52","Chasmistes liorus","June Sucker","Catostome noir nain","Unsexed",440,465,"TL","United States","Utah Lake.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=35393 target='_blank' >Whitney et al. 2000</a>"
"53","Coregonus artedi","Cisco","Cisco de lac","Unsexed",NA,150,"SL","United States","Muskellunge Lake, Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"54","Coregonus artedi","Cisco","Cisco de lac","Unsexed",NA,140,"SL","United States","Silver Lake, Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"55","Coregonus artedi","Cisco","Cisco de lac","Unsexed",NA,125,"SL","United States","Trout Lake, Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"56","Coregonus artedi","Cisco","Cisco de lac","Mixed",NA,270,"TL","Canada","Eastern James-Hudson Bay","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52223 target='_blank' >Morin et al. 1982</a>"
"57","Coregonus autumnalis","Arctic Cisco","Cisco arctique","Mixed",280,310,"FL","Russian Federation","Enisey River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>"
"58","Coregonus clupeaformis","Lake Whitefish","Grand corégone","Unsexed",NA,270,NA,"Canada","Lake Nipigon","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"59","Coregonus clupeaformis","Lake Whitefish","Grand corégone","Unsexed",NA,270,NA,"Canada","Shakespeare Is. Lake","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"60","Coregonus clupeaformis","Lake Whitefish","Grand corégone","Unsexed",NA,230,NA,"United States","Trout Lake, Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"61","Coregonus hoyi","Bloater",NA,"Mixed",NA,183,"TL","United States","Apostle Islands Region, Lake Superior","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52232 target='_blank' >Dryer et al. 1968</a>"
"62","Coregonus hoyi","Bloater",NA,"Mixed",NA,170,"TL","United States","Apostle Islands Region, Lake Superior, Great Lakes","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52232 target='_blank' >Dryer et al. 1968</a>"
"63","Coregonus kiyi","Kiyi",NA,"Unsexed",NA,180,NA,"United States","USA","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"64","Coregonus nasus","Broad Whitefish","Corégone tschir","Mixed",420,435,"FL","Russian Federation","Enisey River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>"
"65","Cottus cognatus","Slimy Sculpin","Chabot visqueux","Unsexed",NA,74,"TL","Alaska (USA)","Chandalar River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=28921 target='_blank' >Craig et al. 1976</a>"
"66","Couesius plumbeus","Lake Chub","Méné de lac","Female",NA,86,"FL",NA,"Mile 66 Brook, Ten Mile Lake, Western Labrador, 1975","<a href=http://fishbase.ca/references/FBRefSummary.php?id=49192 target='_blank' >Bruce et al. 1976</a>"
"67","Couesius plumbeus","Lake Chub","Méné de lac","Male",75,NA,"FL",NA,"Mile 66 Brook, Ten Mile Lake, Western Labrador, 1975","<a href=http://fishbase.ca/references/FBRefSummary.php?id=49192 target='_blank' >Bruce et al. 1976</a>"
"68","Cyprinus carpio","Carp","Carpe","Unsexed",370,415,NA,"India","(Hills)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"69","Cyprinus carpio","Carp","Carpe","Unsexed",150,175,NA,"India","(Plains)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"70","Cyprinus carpio","Carp","Carpe","Unsexed",400,425,NA,NA,"Europe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"71","Cyprinus carpio","Carp","Carpe","Unsexed",300,350,NA,"Indonesia","Indonesia","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"72","Cyprinus carpio","Carp","Carpe","Unsexed",300,340,NA,"Japan","Japan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"73","Cyprinus carpio","Carp","Carpe","Female",250,NA,NA,NA,"Not Stated","<a href=http://fishbase.ca/references/FBRefSummary.php?id=6390 target='_blank' >Kailola et al. 1993</a>"
"74","Cyprinus carpio","Carp","Carpe","Male",200,NA,"NG",NA,"Not Stated","<a href=http://fishbase.ca/references/FBRefSummary.php?id=6390 target='_blank' >Kailola et al. 1993</a>"
"75","Cyprinus carpio","Carp","Carpe","Mixed",NA,251,"TL","France","Camargue","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52210 target='_blank' >Crivelli 1981</a>"
"76","Cyprinus carpio","Carp","Carpe","Mixed",NA,194,"TL","Spain","Guadalquivir River, Southwest Region","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52211 target='_blank' >Fernández-... 1990</a>"
"77","Cyprinus carpio","Carp","Carpe","Female",NA,328,"FL",NA,"Barmah Forest","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89158 target='_blank' >Brown et al. 2005</a>"
"78","Cyprinus carpio","Carp","Carpe","Female",NA,273,"FL",NA,"Campaspe Channels","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89159 target='_blank' >Brown et al. 2004</a>"
"79","Cyprinus carpio","Carp","Carpe","Female",NA,347,"FL","Slovakia","Danube","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89157 target='_blank' >Balon 1995</a>"
"80","Cyprinus carpio","Carp","Carpe","Female",NA,403,"FL","South Africa","Hartbeespoort Dam","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89160 target='_blank' >Cochrane 1985</a>"
"81","Cyprinus carpio","Carp","Carpe","Female",276,335,"FL","South Africa","Lake Gariep, (30°38's; 25°46'e), Orange River, 2006-2008","<a href=http://fishbase.ca/references/FBRefSummary.php?id=88006 target='_blank' >Winker et al. 2011</a>"
"82","Cyprinus carpio","Carp","Carpe","Female",NA,420,"FL","Kenya","Lake Naivasha","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89162 target='_blank' >Oyugi et al. 2011</a>"
"83","Cyprinus carpio","Carp","Carpe","Male",NA,307,"FL",NA,"Barmah Forest","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89158 target='_blank' >Brown et al. 2005</a>"
"84","Cyprinus carpio","Carp","Carpe","Male",NA,287,"FL",NA,"Campaspe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89159 target='_blank' >Brown et al. 2004</a>"
"85","Cyprinus carpio","Carp","Carpe","Male",NA,316,"FL","Slovakia","Danube","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89157 target='_blank' >Balon 1995</a>"
"86","Cyprinus carpio","Carp","Carpe","Male",258,296,"FL","South Africa","Lake Gariep, (30°38's; 25°46'e), Orange River, 2006-2008","<a href=http://fishbase.ca/references/FBRefSummary.php?id=88006 target='_blank' >Winker et al. 2011</a>"
"87","Cyprinus carpio","Carp","Carpe","Male",NA,340,"FL","Kenya","Lake Naivasha","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89162 target='_blank' >Oyugi et al. 2011</a>"
"88","Cyprinus carpio","Carp","Carpe","Female",NA,338,"FL","Turkey","Bayramiç Reservoir","<a href=http://fishbase.ca/references/FBRefSummary.php?id=96089 target='_blank' >Çolakoğlu et al. 2011</a>"
"89","Cyprinus carpio","Carp","Carpe","Male",NA,283,"FL","Turkey","Bayramiç Reservoir","<a href=http://fishbase.ca/references/FBRefSummary.php?id=96089 target='_blank' >Çolakoğlu et al. 2011</a>"
"90","Cyprinus carpio","Carp","Carpe","Female",320,340,NA,"Mongolia","Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>"
"91","Cyprinus carpio","Carp","Carpe","Male",260,270,NA,"Mongolia","Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>"
"92","Dorosoma cepedianum","Gizzard Shad","Alose à gésier","Female",NA,361,"TL","United States","Lake Erie","<a href=http://fishbase.ca/references/FBRefSummary.php?id=3672 target='_blank' >Carlander 1969</a>"
"93","Dorosoma cepedianum","Gizzard Shad","Alose à gésier","Male",NA,265,"TL","United States","Lake Erie","<a href=http://fishbase.ca/references/FBRefSummary.php?id=3672 target='_blank' >Carlander 1969</a>"
"94","Dorosoma cepedianum","Gizzard Shad","Alose à gésier","Unsexed",178,229,NA,"United States","Not Specified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=39046 target='_blank' >Miller 1963</a>"
"95","Esox lucius","Northern Pike","Brochet","Female",280,420,"FL","Scotland (UK)","Loch Davan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>"
"96","Esox lucius","Northern Pike","Brochet","Female",280,350,"FL","Scotland (UK)","Loch Kinord","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>"
"97","Esox lucius","Northern Pike","Brochet","Male",270,380,"FL","Scotland (UK)","Loch Davan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>"
"98","Esox lucius","Northern Pike","Brochet","Male",270,320,"FL","Scotland (UK)","Loch Kinord","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>"
"99","Esox lucius","Northern Pike","Brochet","Female",NA,295,NA,"England and Wales (UK)","England","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>"
"100","Esox lucius","Northern Pike","Brochet","Female",420,525,NA,"United States","Missouri","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26394 target='_blank' >June 1971</a>"
"101","Esox lucius","Northern Pike","Brochet","Female",390,420,NA,"Canada","Northern Canada (4 Lakes)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4946 target='_blank' >Miller et al. 1948</a>"
"102","Esox lucius","Northern Pike","Brochet","Female",400,420,NA,"Spain","Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26392 target='_blank' >Calderon A... 1955</a>"
"103","Esox lucius","Northern Pike","Brochet","Female",NA,257,NA,"United Kingdom","Scotland","<a href=http://fishbase.ca/references/FBRefSummary.php?id=3858 target='_blank' >Munro 1957</a>"
"104","Esox lucius","Northern Pike","Brochet","Female",NA,380,NA,"Canada","Waskesiu Lake, Saskatchewan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26395 target='_blank' >Rawson 1932</a>"
"105","Esox lucius","Northern Pike","Brochet","Female",NA,415,NA,"United Kingdom","Windermere","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4992 target='_blank' >Frost et al. 1967</a>"
"106","Esox lucius","Northern Pike","Brochet","Female",NA,508,NA,"United States","Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>"
"107","Esox lucius","Northern Pike","Brochet","Male",310,NA,NA,"Canada","Lac Ste Anne","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26390 target='_blank' >Billard et al. 1983</a>"
"108","Esox lucius","Northern Pike","Brochet","Male",320,360,NA,"United States","Missouri","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26394 target='_blank' >June 1971</a>"
"109","Esox lucius","Northern Pike","Brochet","Male",390,420,NA,"Canada","Northern Canada (4 Lakes)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4946 target='_blank' >Miller et al. 1948</a>"
"110","Esox lucius","Northern Pike","Brochet","Male",400,420,NA,"Spain","Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26392 target='_blank' >Calderon A... 1955</a>"
"111","Esox lucius","Northern Pike","Brochet","Male",NA,263,NA,"United Kingdom","Scotland","<a href=http://fishbase.ca/references/FBRefSummary.php?id=3858 target='_blank' >Munro 1957</a>"
"112","Esox lucius","Northern Pike","Brochet","Male",380,NA,NA,"United Kingdom","Windermere","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4992 target='_blank' >Frost et al. 1967</a>"
"113","Esox lucius","Northern Pike","Brochet","Male",380,420,NA,"United States","Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>"
"114","Esox lucius","Northern Pike","Brochet","Mixed",400,450,"SL","Russian Federation","Enisey River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>"
"115","Esox lucius","Northern Pike","Brochet","Female",250,325,"SL",NA,"Europe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>"
"116","Esox lucius","Northern Pike","Brochet","Male",170,260,"SL",NA,"Europe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>"
"117","Esox lucius","Northern Pike","Brochet","Female",NA,380,NA,"Ireland","Pollaphuca Reservoir, 1990 (April)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89783 target='_blank' >Roche et al. 1999</a>"
"118","Esox lucius","Northern Pike","Brochet","Male",NA,340,NA,"Ireland","Pollaphuca Reservoir, 1990 (April)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89783 target='_blank' >Roche et al. 1999</a>"
"119","Esox lucius","Northern Pike","Brochet","Female",457,NA,"TL","United States","Illinois","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120388 target='_blank' >Illinois D... 2019</a>"
"120","Esox lucius","Northern Pike","Brochet","Male",432,NA,"TL","United States","Illinois","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120388 target='_blank' >Illinois D... 2019</a>"
"121","Esox lucius","Northern Pike","Brochet","Female",NA,490,"TL",NA,"St. Marys River, North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120699 target='_blank' >Chong et al. 2015</a>"
"122","Esox masquinongy","Muskellunge","Maskinongé","Female",NA,770,NA,"United States","Chautauqua Lake","<a href=http://fishbase.ca/references/FBRefSummary.php?id=45885 target='_blank' >Bimber 1982</a>"
"123","Esox masquinongy","Muskellunge","Maskinongé","Male",NA,670,NA,"United States","Chautauqua Lake","<a href=http://fishbase.ca/references/FBRefSummary.php?id=45885 target='_blank' >Bimber 1982</a>"
"124","Esox niger","Chain Pickerel","Brochet maillé","Unsexed",156,NA,NA,"United States","Not Specified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=39116 target='_blank' >Lewis 1971</a>"
"125","Fundulus heteroclitus","Mummichog","Choquemort","Unsexed",35,NA,"SL",NA,"Not Specified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>"
"126","Gasterosteus aculeatus","Threespine Stickleback","Épinoche à trois épines","Unsexed",NA,36,NA,"England and Wales (UK)","Cheshire, England","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"127","Gasterosteus aculeatus","Threespine Stickleback","Épinoche à trois épines","Female",NA,55,"TL","France","Roscoff (Brackish Waters)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=981 target='_blank' >Bertin 1923</a>"
"128","Gasterosteus aculeatus","Threespine Stickleback","Épinoche à trois épines","Male",NA,45,"TL","France","Roscoff (Brackish Waters)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=981 target='_blank' >Bertin 1923</a>"
"129","Gobio gobio","Gudgeon","Gofi","Unsexed",120,135,"TL","United Kingdom","British Isles","<a href=http://fishbase.ca/references/FBRefSummary.php?id=6258 target='_blank' >Maitland et al. 1992</a>"
"130","Gobio gobio","Gudgeon","Gofi","Female",NA,93,"TL","England and Wales (UK)","River Stour, Southern England","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41750 target='_blank' >Mann 1980</a>"
