"","ScientificName","CommonName","FrenchName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"1","Abramis brama","Common Bream","Brème","Mixed",250,288,"OT","Poland","River Regalica (1974-1977)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75615 target='_blank' >Kompowski 1982</a>"
"2","Acipenser brevirostrum","Shortnose Sturgeon","Esturgeon à museau court","Female",450,500,"FL","United States","St. John River, New Brunswick","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38308 target='_blank' >Vecsei et al. 2000</a>"
"3","Acipenser brevirostrum","Shortnose Sturgeon","Esturgeon à museau court","Female",700,NA,"TL",NA,"St. Johns River, New Brunswick","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38308 target='_blank' >Vecsei et al. 2000</a>"
"4","Acipenser brevirostrum","Shortnose Sturgeon","Esturgeon à museau court","Male",490,NA,NA,"United States","St. John River, New Brunswick","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>"
"5","Acipenser fulvescens","Lake Sturgeon","Esturgeon jaune","Unsexed",NA,1120,NA,"United States","Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"6","Acipenser fulvescens","Lake Sturgeon","Esturgeon jaune","Female",NA,800,"TL",NA,"Nottaway River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=9979 target='_blank' >Magnin 1966</a>"
"7","Acipenser fulvescens","Lake Sturgeon","Esturgeon jaune","Male",NA,900,"TL",NA,"Nottaway River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=9979 target='_blank' >Magnin 1966</a>"
"8","Acipenser fulvescens","Lake Sturgeon","Esturgeon jaune","Female",NA,1140,"TL",NA,"Quebec","<a href=http://fishbase.ca/references/FBRefSummary.php?id=9980 target='_blank' >Vladykov et al. 1963</a>"
"9","Acipenser fulvescens","Lake Sturgeon","Esturgeon jaune","Male",NA,965,"TL",NA,"Quebec","<a href=http://fishbase.ca/references/FBRefSummary.php?id=9980 target='_blank' >Vladykov et al. 1963</a>"
"10","Acipenser fulvescens","Lake Sturgeon","Esturgeon jaune","Female",900,1050,"TL",NA,"Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>"
"11","Acipenser fulvescens","Lake Sturgeon","Esturgeon jaune","Male",850,900,"TL",NA,"Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>"
