"","ScientificName","CommonName","FrenchName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"41","Labidesthes sicculus","Brook Silverside","Crayon d'argent","Unsexed",NA,70,NA,NA,"USA","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"42","Ameiurus nebulosus","Brown Bullhead","Barbotte brune","Female",203,NA,"TL","Canada","Unspecified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>"
"43","Salmo trutta","Brown Trout","Truite commune","Unsexed",NA,240,NA,"United Kingdom","Lake Windermere, England","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"44","Salmo trutta","Brown Trout","Truite commune","Mixed",NA,369,"FL","France","River Calonne, Normandy, 1985","<a href=http://fishbase.ca/references/FBRefSummary.php?id=40189 target='_blank' >Maisse et al. 1991</a>"
"45","Salmo trutta","Brown Trout","Truite commune","Male",120,NA,"FL","England and Wales (UK)","Afon Cwm River, Llanbrynmair, Mid-Wales, 1984-1993","<a href=http://fishbase.ca/references/FBRefSummary.php?id=44580 target='_blank' >Crisp et al. 1995</a>"
"46","Salmo trutta","Brown Trout","Truite commune","Female",NA,147,"FL","Norway","Bellbekken Stream (above Waterfalls), 1997–1999 (Sep. - Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"47","Salmo trutta","Brown Trout","Truite commune","Female",NA,169,"FL","Norway","Bjøråa Stream (above Waterfalls), 1997-1999 (Sep. - Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"48","Salmo trutta","Brown Trout","Truite commune","Female",NA,168,"FL","Norway","Bjøråa Stream (Below Waterfalls), 1997-1999 (Sep. - Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"49","Salmo trutta","Brown Trout","Truite commune","Female",NA,174,"FL","Norway","Gjesa Stream (Below Waterfalls), 1997-1999 (Sep.- Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"50","Salmo trutta","Brown Trout","Truite commune","Female",NA,169,"FL","Norway","Lvåa Stream (above Waterfalls), 1997-1999 (Sep.-Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"51","Salmo trutta","Brown Trout","Truite commune","Female",NA,164,"FL","Norway","Osa Stream (above Waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"52","Salmo trutta","Brown Trout","Truite commune","Female",NA,188,"FL","Norway","Osa Stream (Below Waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"53","Salmo trutta","Brown Trout","Truite commune","Male",NA,142,"FL","Norway","Bellbekken Stream (above  Waterfalls), 1997–1999 (Sep. - Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"54","Salmo trutta","Brown Trout","Truite commune","Male",NA,141,"FL","Norway","Bjøråa Stream (above Waterfalls), 1997-1999 (Sep. - Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"55","Salmo trutta","Brown Trout","Truite commune","Male",NA,159,"FL","Norway","Bjøråa Stream (Below Waterfalls), 1997-1999 (Sep. - Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"56","Salmo trutta","Brown Trout","Truite commune","Male",NA,148,"FL","Norway","Gjesa Stream (Below Waterfalls), 1997-1999 (Sep.- Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"57","Salmo trutta","Brown Trout","Truite commune","Male",NA,162,"FL","Norway","Osa Stream (above Waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"58","Salmo trutta","Brown Trout","Truite commune","Male",NA,187,"FL","Norway","Osa Stream (Below Waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"59","Salmo trutta","Brown Trout","Truite commune","Male",NA,172,"FL","Norway","Ulvåa Stream (above Waterfalls), 1997-1999 (Sep.-Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"60","Salmo trutta","Brown Trout","Truite commune","Female",NA,162,"FL","Spain","Cabrillas River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"61","Salmo trutta","Brown Trout","Truite commune","Female",NA,141,"FL","Spain","Cega River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"62","Salmo trutta","Brown Trout","Truite commune","Female",NA,156,"FL","Spain","Dulce River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"63","Salmo trutta","Brown Trout","Truite commune","Female",NA,133,"FL","Spain","Eresma River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"64","Salmo trutta","Brown Trout","Truite commune","Female",NA,165,"FL","Spain","Gallo River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"65","Salmo trutta","Brown Trout","Truite commune","Female",NA,145,"FL","Spain","Hoz Seca River/ 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"66","Salmo trutta","Brown Trout","Truite commune","Female",NA,167,"FL","Spain","Jarama River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"67","Salmo trutta","Brown Trout","Truite commune","Male",NA,134,"FL","Spain","Cabrillas River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"68","Salmo trutta","Brown Trout","Truite commune","Male",NA,123,"FL","Spain","Cega River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"69","Salmo trutta","Brown Trout","Truite commune","Male",NA,141,"FL","Spain","Dulce River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"70","Salmo trutta","Brown Trout","Truite commune","Male",NA,125,"FL","Spain","Eresma River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"71","Salmo trutta","Brown Trout","Truite commune","Male",NA,132,"FL","Spain","Gallo River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"72","Salmo trutta","Brown Trout","Truite commune","Male",NA,139,"FL","Spain","Hoz Seca River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"73","Salmo trutta","Brown Trout","Truite commune","Male",NA,139,"FL","Spain","Jaram River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"74","Salmo trutta","Brown Trout","Truite commune","Female",NA,360,"TL","United States","Caney Fork River, Tennessee","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120718 target='_blank' >Holbrook et al. 2006</a>"
"75","Salmo trutta","Brown Trout","Truite commune","Female",NA,319,"TL","United States","Clinch River, Tennessee","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120718 target='_blank' >Holbrook et al. 2006</a>"
"76","Salmo trutta","Brown Trout","Truite commune","Female",NA,294,"TL","United States","South Fork of the Holston River, Tennessee","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120718 target='_blank' >Holbrook et al. 2006</a>"
"77","Salmo trutta","Brown Trout","Truite commune","Female",NA,256,"TL","United States","Watauga River, Tennessee","<a href=http://fishbase.ca/references/FBRefSummary.php?id=120718 target='_blank' >Holbrook et al. 2006</a>"
"78","Salmo trutta","Brown Trout","Truite commune","Female",13,NA,"SL","Greece","Aspropotamos Stream (March 1981- February 1982)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=27724 target='_blank' >Papageorgi... et al. 1983</a>"
"79","Salmo trutta","Brown Trout","Truite commune","Male",10,NA,"SL","Greece","Aspropotamos Stream (March 1981- February 1982)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=27724 target='_blank' >Papageorgi... et al. 1983</a>"
"80","Salmo trutta","Brown Trout","Truite commune","Female",147,NA,NA,NA,"Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41168 target='_blank' >Gabrielyan 2001</a>"
"81","Salmo trutta","Brown Trout","Truite commune","Male",125,NA,NA,NA,"Not Specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41168 target='_blank' >Gabrielyan 2001</a>"
"82","Salmo trutta","Brown Trout","Truite commune","Female",2570,NA,"FL","Poland","Department of Salmonid Research in Rutki of the Inland Fisheries Institute, Olsztyn, 1998-2002","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91275 target='_blank' >Dębowski et al. 2005</a>"
"83","Salvelinus confluentus","Bull Trout","Omble à tête plate","Unsexed",580,720,"SL",NA,"Tributaries to Thutade Lake, Northcentral BC","<a href=http://fishbase.ca/references/FBRefSummary.php?id=49186 target='_blank' >Baxter et al. 1997</a>"
"84","Lota lota","Burbot","Lotte","Female",350,NA,NA,"Mongolia","Selenga and Orhon Rivers","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>"
"85","Lota lota","Burbot","Lotte","Male",270,NA,NA,"Mongolia","Selenga and Orhon Rivers","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>"
"86","Lota lota","Burbot","Lotte","Mixed",400,NA,"TL","Russian Federation","Enisey River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>"
"87","Lota lota","Burbot","Lotte","Unsexed",450,NA,NA,"Alaska (USA)","Not Specified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=58810 target='_blank' >Holmes 1994</a>"
"88","Cyprinus carpio","Carp","Carpe","Unsexed",370,NA,NA,"India","(Hills)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"89","Cyprinus carpio","Carp","Carpe","Unsexed",150,NA,NA,"India","(Plains)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"90","Cyprinus carpio","Carp","Carpe","Unsexed",400,NA,NA,NA,"Europe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"91","Cyprinus carpio","Carp","Carpe","Unsexed",300,NA,NA,"Indonesia","Indonesia","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"92","Cyprinus carpio","Carp","Carpe","Unsexed",300,NA,NA,"Japan","Japan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>"
"93","Cyprinus carpio","Carp","Carpe","Female",250,NA,NA,NA,"Not Stated","<a href=http://fishbase.ca/references/FBRefSummary.php?id=6390 target='_blank' >Kailola et al. 1993</a>"
