ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Esox niger,Chain Pickerel,Brochet maillé,,,440,TL,Canada,New Brunswick,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Ictalurus punctatus,Channel Catfish,Barbue de rivière,,,337,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Percina copelandi,Channel Darter,Fouille-roche gris,Female,,35,SL,,,"Jenkins and Burkhead, 1993",http://fishbase.us/references/FBRefSummary.php?id=54724
Oncorhynchus tshawytscha,Chinook Salmon,Saumon chinook,,,750,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Oncorhynchus keta,Chum Salmon,Saumon keta,,,681,FL,Canada,"Fraser River, British Columbia","Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Coregonus artedi,Cisco,Cisco de lac,,,246,SL,,,Portt et al. 1988,http://fishbase.us/references/FBRefSummary.php?id=10280
Cottus aleuticus,Coastrange Sculpin,Chabot côtier,,,71,TL,United States,Oregon,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Oncorhynchus kisutch,Coho Salmon,Saumon coho,,,635,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Cyprinus carpio,Common Carp,Carpe,,,353,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Moxostoma hubbsi,Copper Redhorse,,Mixed,,652,,Canada,Quebec,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Semotilus atromaculatus,Creek Chub,Mulet à cornes,,,87,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Exoglossum maxillingua,Cutlips Minnow,Bec-de-lièvre,,,80,,,,Coker et al. 2001,https://doi.org/10.2307/1436880
Oncorhynchus clarkii,Cutthroat Trout,Truite fardée,,,363,FL,Canada,"Vancouver Island, British Columbia","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Lethenteron alaskense,Darktail Lamprey,,,150,180,,United States,Alaska,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Myoxocephalus thompsonii,Deepwater Sculpin,Chabot de profondeur,,,81,TL,Canada,"Burchell Lake, Ontario","Black and Lankester, 1981",https://doi.org/10.1139/z81-196
Salvelinus malma,Dolly Varden,Dolly varden,,,206,FL,United States,Alaska,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Ammocrypta pellucida,Eastern Sand Darter,Dard de sable,,,36,SL,,,"Holm and Mandrak, 1995",http://science-catalogue.canada.ca/record=b3654104~S6
Thaleichthys pacificus,Eulachon,Eulakane,,104,124,FL,Canada,British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Etheostoma flabellare,Fantail Darter,Dard barré,,,55,TL,United States,West and North of Viginia,"Jenkins and Burkhead, 1993",http://fishbase.us/references/FBRefSummary.php?id=54724
Pimephales promelas,Fathead Minnow,Tête de boule,,,54,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Chrosomus neogaeus,Finescale Dace,Ventre citron,,,59,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Platygobio gracilis,Flathead Chub,Méné à tête plate,,,180,,Canada,"Peace River, Alberta","Nelson and Paetz, 1992",http://www.fishbase.org/References/FBRefSummary.php?id=78981
Myoxocephalus quadricornis,Fourhorn Sculpin,,Male,,150,TL,Canada,"Tuktoyaktuk Peninsula, Nortwest Territories","Houston, 1990b",http://www.fishbase.org/References/FBRefSummary.php?id=58522
Myoxocephalus quadricornis,Fourhorn Sculpin,,Female,,180,TL,Canada,"Tuktoyaktuk Peninsula, Nortwest Territories","Houston, 1990b",http://www.fishbase.org/References/FBRefSummary.php?id=58522
Apeltes quadracus,Fourspine Stickleback,Épinoche à quatre épines,,,41,SL,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
